,PA01H:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RUR_S:PM25,BP_EST:PM25,VITRY:PM25,A1:PM25,AUT:PM25,GEN:PM25,RAMBO:PM25,BOB:PM25,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Zone Rurale Sud - Bois Herpin,Boulevard Périphérique Est,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Boulevard Péripherique Auteuil,GENNEVILLIERS,Rambouillet,BOBIGNY,0
,PA01H,RN6,RUR_N,RUR-SE,GON,RUR_S,BP_EST,VITRY,A1,AUT,GEN,RAMBO,BOB,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2020/05/27 14:00:00+00,,13.300000,,6.200000,7.500000,8.200000,13.800000,,16.200000,16,7.800000,6.100000,13.100000,3546
2020/05/27 15:00:00+00,,7.700000,6.200000,12.600000,8.300000,8.500000,16.900000,,17.800000,16.500000,7.800000,8.300000,13.500000,3547
2020/05/27 16:00:00+00,,7.900000,9.700000,7.700000,7.900000,10.900000,12.900000,6.800000,11.400000,18.300000,6.600000,6.500000,11.300000,3548
2020/05/27 17:00:00+00,,11.100000,6.600000,10.800000,9.300000,9.700000,18.300000,3.500000,14.200000,13.800000,5.600000,6,9.500000,3549
2020/05/27 18:00:00+00,9.300000,13.700000,3.700000,6.400000,7.900000,8.600000,10.500000,3.600000,11.600000,17.400000,5.200000,5.400000,8.700000,3550
2020/05/27 19:00:00+00,7.800000,13.100000,6.900000,5.300000,9.200000,5.300000,13.800000,8.700000,11.500000,12.200000,5.100000,7.300000,9.700000,3551
2020/05/27 20:00:00+00,7.700000,15.900000,9.100000,6,8.600000,12.200000,13.100000,11.700000,9.300000,13.100000,5.500000,5.600000,8,3552
2020/05/27 21:00:00+00,6.300000,12.300000,5.300000,9.300000,7.900000,12.500000,14.500000,10.900000,12.200000,10.500000,5.300000,5.200000,8.500000,3553
2020/05/27 22:00:00+00,6.100000,11.700000,2.200000,9,5.700000,9.200000,11.600000,8.800000,10.600000,9.300000,4.900000,5.400000,7.200000,3554
2020/05/27 23:00:00+00,4.700000,8.200000,4.200000,7.800000,5.100000,7.100000,10.600000,7.200000,8.600000,7.500000,4.700000,6.500000,7.100000,3555
2020/05/28 00:00:00+00,3.900000,7.300000,3.600000,5.200000,12.400000,11.700000,6.600000,5.500000,6.800000,7.300000,4.800000,6,7.900000,3556
2020/05/28 01:00:00+00,6.200000,5.800000,1.700000,3.300000,10,7.100000,8.300000,7.900000,7.800000,10.400000,4.800000,4.900000,5.200000,3557
2020/05/28 02:00:00+00,5.500000,3.900000,0.800000,2.600000,10.600000,3.400000,11,9.200000,8,8.600000,4.900000,7,4.800000,3558
2020/05/28 03:00:00+00,6,5.800000,3.900000,2.600000,7.800000,4.900000,8.600000,6.300000,13.300000,4.900000,5,5.700000,6.500000,3559
2020/05/28 04:00:00+00,6,7,5.700000,3.300000,5,6.100000,11.200000,5.900000,9.100000,10.600000,5.200000,3.600000,7.300000,3560
2020/05/28 05:00:00+00,6.200000,9.200000,3.700000,2,7.400000,7,10.800000,7.600000,9.500000,13.900000,7.300000,4.200000,8.200000,3561
2020/05/28 06:00:00+00,7.100000,6.500000,11.800000,3.200000,7.600000,7.400000,11,8,16.100000,14.500000,10.900000,5.600000,10.400000,3562
2020/05/28 07:00:00+00,10.400000,13.200000,10.300000,6,10.500000,7,16.600000,13.100000,15.800000,19.600000,15,6.400000,15.100000,3563
2020/05/28 08:00:00+00,14.400000,8.700000,12.900000,5.400000,14.300000,12.800000,14.300000,12.200000,27.300000,18.500000,16.700000,7.800000,17,3564
2020/05/28 09:00:00+00,16.100000,8,10,5.600000,12.800000,11.800000,17.300000,19,25.200000,15.100000,17.800000,8.400000,16.200000,3565
2020/05/28 10:00:00+00,16.300000,14.100000,13.300000,5.600000,13.800000,11.600000,17,14.200000,21.700000,20.700000,17.200000,,11.600000,3566
2020/05/28 11:00:00+00,15.800000,9.500000,9.700000,8.100000,12.200000,7.500000,18.300000,11.800000,19.500000,13.900000,15.800000,,10.800000,3567
2020/05/28 12:00:00+00,12.700000,11,8.100000,5.700000,14.600000,7.200000,12,17.700000,16.200000,12.600000,11,,10,3568
2020/05/28 13:00:00+00,8.300000,11.500000,5.300000,5,9.100000,7.800000,14.600000,6.100000,13.500000,12.400000,8.600000,,7.700000,3569
2020/05/28 14:00:00+00,6.900000,7.800000,14.300000,6.100000,4.900000,5.100000,11.400000,10.500000,15.700000,11.700000,6.200000,13.600000,8.800000,3570
2020/05/28 15:00:00+00,7.800000,6.600000,11.600000,4.500000,5.400000,2.800000,9.300000,7.600000,8.800000,14.500000,4.600000,9,8.100000,3571
2020/05/28 16:00:00+00,6.100000,5.400000,8.800000,2.200000,5.100000,8.100000,12.100000,7.400000,13.300000,11.400000,4,2.600000,5.500000,3572
2020/05/28 17:00:00+00,4.700000,7.800000,7.900000,8.500000,6.800000,6.400000,9.300000,4.500000,11.500000,9.600000,2.900000,0.800000,3,3573
2020/05/28 18:00:00+00,4.200000,10.200000,6.600000,6.900000,7.100000,5.300000,11.900000,6.200000,12.100000,7.500000,3.100000,2.100000,6.600000,3574
2020/05/28 19:00:00+00,5,6.300000,5.700000,5,10.100000,7.300000,9.500000,4.100000,29,12.300000,4.600000,1.800000,7.800000,3575
2020/05/28 20:00:00+00,6.400000,3.700000,4.700000,4.700000,8.300000,7,16.200000,6.200000,16.300000,12.800000,5.400000,1.900000,5.900000,3576
2020/05/28 21:00:00+00,5.900000,7.400000,3.300000,3.800000,5.900000,5.200000,11.200000,6.500000,29.500000,12.500000,5.100000,2,7.800000,3577
2020/05/28 22:00:00+00,6.200000,7.600000,3.900000,3.300000,7.300000,5.200000,11.500000,8.200000,13.500000,11.100000,4.100000,4.200000,10.600000,3578
2020/05/28 23:00:00+00,5.600000,4.200000,6,3.200000,8.400000,5.500000,10.500000,8.800000,14.900000,10.200000,4.100000,5.100000,8.300000,3579
2020/05/29 00:00:00+00,7.100000,6.300000,5.700000,2.500000,7,6.500000,8.900000,8.100000,9.300000,10.300000,4.300000,4.400000,7,3580
2020/05/29 01:00:00+00,8.100000,9.600000,5,2.800000,8.300000,5.100000,8.300000,7.500000,8.200000,6,4.500000,3.600000,10.600000,3581
2020/05/29 02:00:00+00,6.600000,6.700000,5.300000,6.600000,8.900000,3.900000,11,11.100000,11.700000,6.700000,4.300000,5,6.800000,3582
2020/05/29 03:00:00+00,6.500000,5.400000,4.700000,6.500000,7.200000,2.900000,10,10,12.200000,7.300000,4.300000,5.700000,9,3583
2020/05/29 04:00:00+00,6.700000,7.300000,5,6,9.200000,4.500000,13,9.100000,8.700000,7,4.300000,7.100000,10.900000,3584
2020/05/29 05:00:00+00,6.200000,8.800000,3.700000,4.600000,8.800000,3.600000,18.400000,9.300000,11.500000,14.900000,4.700000,6.200000,9,3585
2020/05/29 06:00:00+00,7.700000,7.200000,2.500000,2.800000,6.800000,4.100000,13.700000,9.800000,13.900000,17.900000,5.200000,3.600000,9.200000,3586
2020/05/29 07:00:00+00,6.900000,8.200000,4.400000,3.200000,8.700000,3.700000,10.700000,10.800000,10.600000,17.500000,5.700000,4.600000,10.800000,3587
2020/05/29 08:00:00+00,6.500000,4.700000,4.600000,4.900000,11.400000,3.500000,12.300000,10.400000,9.700000,14.800000,5.100000,4.800000,7.200000,3588
2020/05/29 09:00:00+00,6.600000,9.300000,2.900000,2.200000,8.400000,4.500000,11,10.500000,24,10.400000,5.100000,3.700000,5.900000,3589
2020/05/29 10:00:00+00,7.400000,6.200000,5.200000,2.700000,5.500000,5,9.900000,6.400000,12.600000,16.900000,4.500000,4.600000,8,3590
2020/05/29 11:00:00+00,7.400000,4.100000,4.100000,3.100000,5.800000,3.400000,9,6.300000,11.200000,7.800000,3.500000,3.600000,7,3591
2020/05/29 12:00:00+00,6,4.500000,1.100000,2.200000,4.700000,2.300000,9.500000,3.800000,15.700000,11.400000,3.700000,1.200000,5.800000,3592
2020/05/29 13:00:00+00,7.900000,4.100000,1.500000,3.500000,5.100000,2.100000,9.900000,2.100000,9.900000,11.400000,3.600000,0,7.800000,3593
2020/05/29 14:00:00+00,7.400000,4.300000,2.600000,2,2.900000,2.900000,12.500000,4.600000,15.400000,11.600000,3.700000,0.500000,8.200000,3594
2020/05/29 15:00:00+00,8.200000,5.300000,2.200000,0.500000,6.800000,2.600000,8.800000,8.500000,12.600000,12.600000,3.500000,2.100000,10.100000,3595
2020/05/29 16:00:00+00,7.200000,6,1.700000,1.900000,7.500000,4,8.200000,6.900000,10.700000,10.100000,3.200000,1.700000,7.300000,3596
2020/05/29 17:00:00+00,8.600000,7.700000,4.800000,3.700000,7.700000,3.900000,9.900000,5.500000,14.300000,10.200000,3.400000,3.300000,7.700000,3597
2020/05/29 18:00:00+00,5.600000,8.900000,7.300000,3.800000,6.800000,2.800000,8.800000,5.200000,15.200000,13.500000,3.600000,4.600000,7,3598
2020/05/29 19:00:00+00,6.600000,9.700000,5.700000,10.200000,9.600000,2,14.800000,8.300000,12.300000,16.100000,3.800000,3.600000,8,3599
2020/05/29 20:00:00+00,6.400000,9.800000,4.500000,6.900000,10.100000,4,12.800000,12.300000,13.600000,17.400000,4.100000,1.900000,10.200000,3600
2020/05/29 21:00:00+00,6.900000,12.400000,4.100000,3.400000,9.700000,7.500000,15.200000,10.100000,14.600000,11.100000,5.100000,1.700000,12.700000,3601
2020/05/29 22:00:00+00,8.100000,8.400000,6.300000,3.400000,,7.200000,19.500000,18.700000,16.200000,14.500000,11.800000,3.800000,12.200000,3602
2020/05/29 23:00:00+00,9.200000,14.400000,6.100000,3.300000,10.400000,6.600000,21.300000,16.900000,18.800000,21.100000,11.200000,7.300000,19.400000,3603
2020/05/30 00:00:00+00,11.200000,9.300000,4.200000,4,12.600000,11.400000,16.100000,9.800000,18,20.800000,7.400000,9.400000,11,3604
2020/05/30 01:00:00+00,11.200000,7.500000,6.600000,3.200000,9.900000,10.200000,17.100000,10,20,19.200000,6.300000,12.600000,12,3605
2020/05/30 02:00:00+00,10.700000,9.300000,7.300000,6.600000,13,8.200000,14.900000,11.100000,20.800000,19.100000,6.500000,9.500000,11.600000,3606
2020/05/30 03:00:00+00,11.400000,6.100000,10.500000,8,11.100000,9.400000,16.200000,11.300000,26.700000,19.100000,6.200000,6.100000,13.100000,3607
2020/05/30 04:00:00+00,12.300000,10,8.600000,5.100000,8.500000,,14.600000,10.300000,14.800000,16.500000,6.400000,4.300000,10.600000,3608
2020/05/30 05:00:00+00,11.500000,9.700000,7,2.500000,9.500000,11,12.300000,8.800000,16.400000,18.300000,6.700000,7.100000,8.200000,3609
2020/05/30 06:00:00+00,13.200000,7.100000,5.900000,4.400000,11,7.700000,15,9.100000,14.500000,17,6.800000,7.100000,11.100000,3610
2020/05/30 07:00:00+00,10.800000,12,5.200000,6.900000,7.600000,7.800000,17.800000,7.900000,14.600000,12.300000,6.800000,7.500000,8.400000,3611
2020/05/30 08:00:00+00,8.700000,10.900000,6.900000,8.400000,7.300000,9.600000,13.900000,7.400000,12.700000,17.100000,6,5.100000,6.800000,3612
2020/05/30 09:00:00+00,7.500000,7.200000,4.400000,6.600000,7.300000,,12,5.800000,11.400000,13,5.400000,4.100000,5.300000,3613
2020/05/30 10:00:00+00,7,9,3.400000,3.900000,12.400000,3.700000,10.300000,8.300000,12.400000,,4.300000,4.500000,5.800000,3614
2020/05/30 11:00:00+00,7.400000,8.400000,2.200000,3.500000,7.400000,3.400000,6.700000,12.600000,12.500000,12.800000,4.500000,3.800000,5.100000,3615
2020/05/30 12:00:00+00,5.100000,8.200000,0.900000,3.700000,5.800000,4.900000,11.600000,8.100000,11.700000,11.300000,5,0.800000,5.300000,3616
2020/05/30 13:00:00+00,6.700000,8.300000,3,3.500000,5.900000,3.800000,9.800000,9.800000,11,10.900000,5.400000,3.600000,5.100000,3617
2020/05/30 14:00:00+00,7.600000,6.800000,,3,4.500000,2.700000,11.700000,5.700000,12.200000,14.300000,4.500000,4.200000,6,3618
2020/05/30 15:00:00+00,8.400000,5.400000,,0.900000,6.100000,2.200000,13.900000,7.100000,10.500000,11.700000,4.500000,3.900000,5.700000,3619
2020/05/30 16:00:00+00,7.600000,6.300000,9.400000,3.700000,6.300000,3,9.500000,5.200000,9.300000,10.700000,4.800000,2.700000,6.300000,3620
2020/05/30 17:00:00+00,7.300000,7.300000,6.300000,4.600000,7.500000,6,12.800000,6.800000,21.500000,9.300000,3.900000,5.900000,8.400000,3621
2020/05/30 18:00:00+00,8.500000,8.400000,4.600000,3.100000,6.300000,7.400000,15.500000,7.600000,15.600000,8.100000,4,5.800000,8.600000,3622
2020/05/30 19:00:00+00,8.100000,13.400000,5.100000,1.600000,9.100000,4.800000,16.200000,10.400000,15.600000,13.400000,5,4.700000,7.400000,3623
2020/05/30 20:00:00+00,7,12.600000,6.900000,1,12,2.700000,14.300000,8.200000,13.200000,14.900000,5.900000,4.300000,9.100000,3624
2020/05/30 21:00:00+00,9.700000,8.600000,7.800000,0.600000,10.100000,3.200000,19.400000,8.100000,17.100000,15.300000,8.200000,4.300000,11.900000,3625
2020/05/30 22:00:00+00,9.700000,6.900000,8.500000,5.600000,9.300000,7.200000,15.200000,10.600000,18.800000,14.100000,9.600000,6,16.700000,3626
2020/05/30 23:00:00+00,9,8.100000,6.200000,8.600000,9.300000,8.500000,23,12.700000,15.200000,11.600000,8.200000,7.300000,17,3627
2020/05/31 00:00:00+00,8.100000,6.300000,5.500000,7.800000,12.200000,7.500000,14.500000,8.900000,15,9.200000,7.500000,9.200000,18.100000,3628
2020/05/31 01:00:00+00,7.100000,7.500000,5.600000,6,11.200000,7,14,4.500000,15.800000,8.400000,7.100000,8.900000,14.500000,3629
2020/05/31 02:00:00+00,6.600000,11.400000,3,4.900000,6.400000,5.400000,10.900000,7.800000,12.500000,6.900000,10.300000,8.400000,9.500000,3630
2020/05/31 03:00:00+00,6.800000,6.600000,6.200000,5.800000,6.400000,5.600000,17.200000,9.800000,16,12.200000,7.800000,6.500000,7.600000,3631
2020/05/31 04:00:00+00,5.800000,5.200000,5,6.200000,7.500000,7.300000,13.100000,6.900000,13.300000,8.500000,5.200000,3.800000,6.900000,3632
2020/05/31 05:00:00+00,4.500000,6.400000,2,6.300000,7.800000,5.600000,9.600000,7.500000,9.200000,13.600000,6,4.700000,11.200000,3633
2020/05/31 06:00:00+00,5.500000,6.800000,4.700000,7.500000,7.300000,3.600000,8.300000,5.500000,15.600000,9.400000,3.800000,3.200000,6.400000,3634
2020/05/31 07:00:00+00,4.900000,4.900000,5.600000,4.600000,5.400000,3.900000,13.500000,4.200000,3,4.900000,3.400000,4.800000,5.400000,3635
2020/05/31 08:00:00+00,5,2.700000,3.200000,3.600000,5.200000,5.600000,8.800000,4.400000,9.900000,5.700000,3,3.900000,5.300000,3636
2020/05/31 09:00:00+00,4.300000,5,2.600000,4.700000,7.600000,3.200000,5.900000,3.200000,9.100000,11.300000,2.500000,1.200000,3.100000,3637
2020/05/31 10:00:00+00,5.700000,6.500000,2.500000,4.100000,6.600000,4.900000,4.400000,4.500000,8,8.200000,2.400000,0.800000,5.400000,3638
2020/05/31 11:00:00+00,6,6.300000,2.600000,1.800000,5.900000,5.100000,7,3.800000,9.300000,9,2.500000,0,5.200000,3639
2020/05/31 12:00:00+00,3.200000,5.700000,4.700000,0,3.900000,3,9.700000,3.500000,12.500000,8.800000,2.900000,0,3.900000,3640
2020/05/31 13:00:00+00,5.300000,6.600000,3.900000,0,7.500000,3.800000,9.200000,7.100000,8.900000,11.300000,3.200000,2.900000,6.500000,3641
2020/05/31 14:00:00+00,3.100000,10.200000,4.100000,0.400000,6.200000,3.600000,8.200000,9.600000,5.400000,11.400000,3,5.200000,6.400000,3642
2020/05/31 15:00:00+00,2.500000,6.300000,7,2.800000,3.800000,2.700000,11.100000,7.500000,8.300000,10.600000,2.600000,4.800000,4.200000,3643
2020/05/31 16:00:00+00,6,4.100000,4.300000,3.900000,1.800000,4.600000,10,5.400000,7.500000,8.800000,2.600000,6.400000,4.600000,3644
2020/05/31 17:00:00+00,7.200000,5.800000,1.600000,2.300000,3.500000,3.800000,7.800000,5.700000,11.700000,9.200000,2.900000,6.400000,6.800000,3645
2020/05/31 18:00:00+00,5.800000,7.500000,3.800000,0.900000,8,4.500000,7.600000,5.600000,8.500000,8.300000,3.500000,4.300000,9.500000,3646
2020/05/31 19:00:00+00,5.300000,6.200000,5.500000,0.600000,8.800000,6.300000,12,8.300000,7.200000,12.700000,4.400000,2.900000,8.400000,3647
2020/05/31 20:00:00+00,6.500000,7.500000,4.600000,4,7.200000,4.900000,19.600000,8.300000,12.500000,8.500000,3.900000,3.800000,12.500000,3648
2020/05/31 21:00:00+00,7.300000,6.700000,7.600000,4.600000,5.800000,2.700000,20.400000,6,14.600000,8.700000,5.200000,7.100000,12.300000,3649
2020/05/31 22:00:00+00,7.300000,9.400000,4.500000,5.800000,9.900000,2.100000,14.100000,8.200000,11.300000,9.600000,6.900000,6.200000,8.400000,3650
2020/05/31 23:00:00+00,7.500000,6.100000,4.800000,4.400000,8.600000,3.700000,17.500000,12,12.400000,18.900000,7.600000,5.600000,8.100000,3651
2020/06/01 00:00:00+00,8.400000,3.600000,6.500000,8,9.900000,5.300000,8.700000,12.300000,14.200000,11.100000,6.200000,5.900000,10.400000,3652
2020/06/01 01:00:00+00,8.500000,6.300000,5.600000,6.300000,7.800000,4.300000,7.800000,11,11.900000,12.200000,4.600000,7.600000,10.500000,3653
2020/06/01 02:00:00+00,6,8.400000,5.100000,4.200000,6.800000,8.100000,14.500000,8,8.700000,8.800000,3.500000,8.200000,8.100000,3654
2020/06/01 03:00:00+00,6.500000,7.100000,3.200000,0.900000,6.300000,6.800000,13.100000,5.900000,8.900000,8.600000,4,8.200000,7.300000,3655
2020/06/01 04:00:00+00,5.200000,7,4.300000,2.300000,5.900000,8.600000,19.900000,5.500000,10.700000,12.300000,4,5.400000,5.500000,3656
2020/06/01 05:00:00+00,7.200000,3.900000,4.700000,3.800000,4.700000,5.600000,25.700000,6.300000,12.500000,11.700000,3.900000,4,6.900000,3657
2020/06/01 06:00:00+00,8.400000,8.500000,3.800000,4.500000,11.500000,6.600000,21.600000,8.700000,13.400000,10.700000,3.800000,3.900000,6.100000,3658
2020/06/01 07:00:00+00,5.200000,8.200000,5.900000,7,7.600000,5.200000,9.800000,10.300000,30.600000,9.400000,3.800000,4.500000,9.100000,3659
2020/06/01 08:00:00+00,6,5.600000,5.600000,5.900000,5,5.600000,12.400000,8.800000,11.300000,9.300000,4,4.800000,6.800000,3660
2020/06/01 09:00:00+00,7,9.300000,8.900000,4.300000,8.100000,8.300000,10.900000,7.700000,10,11.400000,4.200000,3.800000,7,3661
2020/06/01 10:00:00+00,7.400000,8.100000,7.200000,2.800000,9.400000,9.300000,9.900000,6.100000,9.400000,14.800000,3.800000,3.400000,8.400000,3662
2020/06/01 11:00:00+00,7.400000,9.500000,3.300000,1.500000,7.300000,6.400000,9.500000,6.500000,9.400000,12.300000,3.700000,5.100000,9.900000,3663
2020/06/01 12:00:00+00,7.300000,7.400000,3.100000,1.900000,9.100000,7.200000,8.400000,7.300000,,11.700000,3.200000,5,10.500000,3664
2020/06/01 13:00:00+00,5.500000,5.800000,4.200000,4.500000,8.900000,7.600000,7.500000,5.100000,,10.500000,3.200000,3.900000,12.500000,3665
2020/06/01 14:00:00+00,7.500000,15.200000,7,3,7,7.500000,8.800000,3.700000,,12.500000,3,2.900000,8,3666
2020/06/01 15:00:00+00,9.100000,4.700000,5.400000,2.600000,6.700000,4.700000,14,4.300000,,10,3.200000,2.900000,8.700000,3667
2020/06/01 16:00:00+00,7.100000,2.700000,2.500000,2.600000,6.200000,3.100000,9.100000,5.600000,,13.400000,3.300000,3.400000,6.700000,3668
2020/06/01 17:00:00+00,7.100000,2.700000,2.700000,1.100000,7.200000,4.900000,10.600000,3.700000,,14.200000,3.700000,3.900000,6.700000,3669
2020/06/01 18:00:00+00,7.700000,8.700000,6.400000,2.800000,6,5.400000,13.900000,3.600000,,9.900000,3.600000,3.300000,7.300000,3670
2020/06/01 19:00:00+00,7.100000,8.600000,5.100000,4.100000,5.400000,5.100000,14.400000,5.600000,,11.700000,5.100000,4.600000,5.700000,3671
2020/06/01 20:00:00+00,6.600000,9.600000,8.800000,5.700000,8.600000,3.300000,20.100000,7.600000,,11.800000,4.700000,7.900000,8.700000,3672
2020/06/01 21:00:00+00,9.500000,15.100000,5.200000,6.200000,13.500000,5.200000,14.300000,9.200000,,16.600000,7.800000,6.100000,13.700000,3673
2020/06/01 22:00:00+00,10.800000,12.400000,10.100000,3.400000,10.900000,4.400000,22,16.700000,,19.600000,10.700000,4.800000,20.900000,3674
2020/06/01 23:00:00+00,14,7.800000,7.600000,2.100000,7,2.800000,36.700000,15.300000,,23.200000,10,9.100000,18.600000,3675
2020/06/02 00:00:00+00,14.500000,7.100000,4.700000,2.900000,11.100000,3.200000,19.200000,18.800000,,21.400000,9.300000,7.300000,14.700000,3676
2020/06/02 01:00:00+00,13.800000,10.200000,3.800000,3.500000,9.400000,5.600000,19.100000,15,,15.800000,10.500000,11.900000,17.300000,3677
2020/06/02 02:00:00+00,9.900000,6.100000,7.300000,2.500000,6.700000,6.900000,18.900000,14.800000,,12.400000,9.800000,7.500000,11.300000,3678
2020/06/02 03:00:00+00,9.800000,10.800000,6.300000,2.800000,8.200000,9,9.500000,8.200000,,16,6.600000,8,10,3679
2020/06/02 04:00:00+00,10.200000,14.100000,7.500000,4.200000,7.400000,10.400000,11.700000,12.700000,,18.600000,8.600000,8.500000,7.600000,3680
2020/06/02 05:00:00+00,10.800000,12.100000,9.100000,6.800000,10.600000,8.700000,12.300000,12.100000,,16.900000,8.400000,6.300000,9.100000,3681
2020/06/02 06:00:00+00,10.700000,11.600000,8.100000,8.700000,7.300000,9.400000,20.700000,16.900000,,17.800000,8.700000,7.400000,13.500000,3682
2020/06/02 07:00:00+00,13.500000,10.500000,10.300000,6.400000,14,10.200000,20.200000,6.900000,,17.200000,9.300000,4.600000,14.400000,3683
2020/06/02 08:00:00+00,20.600000,15.100000,12.500000,6.700000,11.700000,6.800000,19.200000,10.500000,,16.500000,11.100000,3,14.100000,3684
2020/06/02 09:00:00+00,13.900000,,12.400000,4.700000,8.600000,7.100000,22.500000,14.300000,,,10.800000,9.300000,13.600000,3685
2020/06/02 10:00:00+00,14.200000,,10.200000,5.400000,12.600000,6.800000,11.100000,11.800000,,,9.400000,5.900000,11.900000,3686
2020/06/02 11:00:00+00,10.400000,,9.500000,5.100000,9.600000,7.300000,15.500000,7.500000,,,7.600000,4.400000,9,3687
2020/06/02 12:00:00+00,8.800000,,7.600000,9.300000,6.700000,8.400000,14.500000,6.200000,,42.200000,7.400000,6.600000,10.700000,3688
2020/06/02 13:00:00+00,10.300000,10.300000,9.900000,6.100000,5.200000,8.800000,15,5.900000,,36.400000,8,6.800000,12,3689
2020/06/02 14:00:00+00,10.200000,8.600000,7.200000,4.800000,5.900000,7,9.500000,3.700000,,41.100000,7.900000,8.700000,9.700000,3690
2020/06/02 15:00:00+00,11.800000,10.700000,6.200000,5.200000,5.500000,7.800000,10.800000,5.100000,13.300000,35.800000,7.600000,5.600000,9.200000,3691
2020/06/02 16:00:00+00,12.200000,7.800000,7.600000,7.200000,7.600000,10.800000,12,5.200000,16,20.400000,6.800000,6.100000,8.200000,3692
2020/06/02 17:00:00+00,10.700000,12.400000,10.500000,4.400000,8.300000,7.400000,10.800000,6.100000,13.900000,24.900000,7.300000,6.600000,7.300000,3693
2020/06/02 18:00:00+00,13.400000,9.200000,8.800000,3.100000,10.300000,12.900000,10.900000,8.900000,28.600000,19.200000,7.900000,6.500000,10.700000,3694
2020/06/02 19:00:00+00,11.800000,7.600000,12.700000,7,14.300000,8,11.800000,11.100000,16.800000,24,7.900000,6.900000,9.500000,3695
2020/06/02 20:00:00+00,12.500000,6.800000,11.800000,7.500000,10,11.400000,20.900000,11,12.300000,35.300000,9.400000,12.900000,13.400000,3696
2020/06/02 21:00:00+00,12.300000,16.900000,15.300000,7.300000,13.400000,9.800000,18.600000,10.200000,22.400000,21.300000,11.500000,14.300000,18.600000,3697
2020/06/02 22:00:00+00,13.700000,12.700000,13.800000,10.800000,10,11.800000,19.100000,17.600000,21.300000,23.900000,9.400000,9.400000,17.400000,3698
2020/06/02 23:00:00+00,13,16.800000,10.100000,7.700000,12.200000,12,13.800000,10.700000,14.700000,19.700000,8.200000,14.900000,12,3699
2020/06/03 00:00:00+00,13,13,7.600000,3.700000,9.700000,9,11.900000,10.600000,14.100000,17.800000,7.700000,10.100000,15.300000,3700
2020/06/03 01:00:00+00,12.100000,9.200000,8.300000,5.800000,10.500000,11.500000,17.700000,10.600000,15.800000,15.700000,7.200000,10.200000,10.600000,3701
2020/06/03 02:00:00+00,10.600000,9.600000,7.600000,5.500000,10.700000,9.400000,8.200000,12.700000,19.500000,11.400000,6.900000,9.300000,9.500000,3702
2020/06/03 03:00:00+00,9.600000,9.400000,10.600000,6,10.600000,10.300000,10.100000,13.700000,11.300000,19,7.400000,11.100000,9.700000,3703
2020/06/03 04:00:00+00,10.900000,15.600000,7.200000,5.800000,10.600000,12.400000,19.500000,9.300000,15.200000,16.700000,7.500000,7.800000,14.600000,3704
2020/06/03 05:00:00+00,10.900000,10.200000,4.700000,10,10.500000,12.800000,22.900000,11.400000,16.600000,18.100000,7.500000,5.400000,13.200000,3705
2020/06/03 06:00:00+00,11.700000,16.100000,,8.200000,11.600000,11.700000,15.400000,12.300000,11.500000,20.900000,7.700000,6.500000,11.800000,3706
2020/06/03 07:00:00+00,11.700000,11.300000,,9.700000,11.500000,10.100000,15,11.500000,24.500000,11.300000,9.800000,5.700000,13.800000,3707
2020/06/03 08:00:00+00,12.100000,11.300000,,6.600000,8.100000,9.600000,15.200000,10.900000,15.200000,22.800000,11.300000,4.400000,12.200000,3708
2020/06/03 09:00:00+00,11.800000,13.100000,,8.700000,8.100000,9.800000,16,9.600000,18.300000,23.500000,7.900000,9.200000,11.200000,3709
2020/06/03 10:00:00+00,9.800000,8.700000,,8.900000,11.600000,10.300000,15.300000,10.600000,15.600000,23.300000,6,8.600000,9.800000,3710
2020/06/03 11:00:00+00,9.600000,16.700000,,10.900000,10.200000,8.400000,16.300000,10.100000,18.700000,22.600000,8,6.200000,6.400000,3711
2020/06/03 12:00:00+00,9,9.800000,,9.100000,7.500000,8.300000,12.100000,10.300000,19,18.700000,8.900000,6,11.300000,3712
2020/06/03 13:00:00+00,10.700000,13.500000,,4.700000,13.800000,9.100000,17,5.600000,15.400000,17.200000,9.100000,9.100000,8.800000,3713
2020/06/03 14:00:00+00,10.600000,14.800000,,4.900000,12.800000,8.600000,11,9.700000,18,16.200000,9,10.100000,9.600000,3714
2020/06/03 15:00:00+00,12.600000,10.500000,9.200000,7.600000,10.200000,10.900000,14.900000,13.100000,19.900000,20.100000,8,6.500000,12.700000,3715
2020/06/03 16:00:00+00,13.100000,9.700000,8.200000,7.900000,12.900000,7.200000,20.400000,10.900000,12.100000,18.700000,7.400000,6,10.100000,3716
